Neuprint Neurons with Name and ID;;;;;;;;;;;;;
https://neuprint.janelia.org/;;;;;;;;;;;;;
;;;;;;;;;;;;;
Big Neurons;;;;;;;;;;;;;
LHPD4c1;421641859;;MBON18;5813020828;;LHMB1;5813020988;;;;;;
LHCENT6;5813068669;;NPFP1;1043117106;;MBON24;487143497;;;;;;
LHCENT2;327499164;;LHAD3a2_a;360246734;;;;;;;;;
;;;;;;;;;;;;;
Small Neurons;;;;;;;;;;;;;
SLP044_b;359555152;;SIP006;328265281;;SMP022;516857964;;CL017;544831533;;LHAV6c1;544435277
SLP098;5813019807;;SIP007;5813020789;;SMP022;640276971;;CL018;578587420;;LHAV6c1;482732443
SLP098;5813019807;;SIP007;298935146;;SMP022;515092013;;CL018;548225503;;LHAV6c1;548199677
SLP101;329582105;;SIP007;298935146;;SMP023;579239039;;CL018;543412036;;LHAV6c1;607212413
SLP101;391630222;;SIP008;330989587;;SMP023;578919867;;CL018;574420970;;LHAV6d1;5813067769
SLP102;330303073;;SIP008;359628017;;SMP024;609247082;;CL019_a;759633968;;LHAV6d1;609587618
SLP102;330640381;;SIP009;548562283;;SMP024;5813082780;;CL019_b;5812981249;;LHAV6d1;519249805
SLP102;360315461;;SIP009;518899771;;SMP024;579260627;;CL019_b;543023799;;;
SLP102;299272806;;SIP010;609587511;;SMP024;5813019920;;CL019_b;578587259;;;
SLP103;391599963;;SIP010;609591989;;SMP024;735470305;;CL020;542699260;;;
SLP103;361964228;;SIP010;609591880;;SMP025;297572235;;CL020;547551580;;;
SLP103;359900300;;SIP011;609591758;;SMP025;266873401;;;;;;
SLP104;5813087454;;SIP011;609591891;;SMP025;5813055768;;;;;;
SLP104;329215304;;SIP011;609587594;;SMP025;298245502;;;;;;
SLP104;327509674;;SIP011;609591823;;SMP025;267223104;;;;;;
SLP105;297860627;;SIP012;607886496;;SMP034;5813039860;;;;;;
SLP105;297519843;;SIP012;576864518;;SMP034;266191395;;;;;;
SLP105;328209735;;SIP013;5813104563;;SMP549;329566197;;;;;;
SLP106;326504486;;SIP013;609501640;;;;;;;;;
SLP106;327519295;;SIP013;609591686;;;;;;;;;
SLP107;296143923;;SIP013;577205852;;;;;;;;;
SLP107;325814784;;;;;;;;;;;;
SLP108;325484974;;;;;;;;;;;;
SLP113;390589591;;;;;;;;;;;;
SLP138;451658249;;;;;;;;;;;;
SLP193_a;421642764;;;;;;;;;;;;
SLP205;296829531;;;;;;;;;;;;
SLP328;391971839;;;;;;;;;;;;
